Rep,Plot,Clone,First Rust Rating,Canker
2,428,10X-218-005,0,0
2,429,10X-400-057,7,1
2,430,05X-291-050,0,0
2,431,10X-400-095,2,1
2,432,10X-218-017,0,0
2,433,10X-400-102,3,0
2,434,05X-295-015,0,0
2,435,10X-400-014,Dead ,0
2,436,India,0,0
2,437,10X-239-020,0,0
2,438,10X-218-011,0,0
2,439,07X-356-021,0,0
2,440,SX61,0,0
2,441,10X-400-089,24,1
2,442,10X-405-027,20,0
2,443,10X-239-015,0,0
2,444,06X-330-021 ,0,0
2,445,10X-400-004,19,1
2,446,10X-405-030,0,0
2,447,SX67,0,0
2,448,10X-400-100,17,1
2,449,10X-400-016,Dead ,0
2,450,10X-400-048,13,1
2,451,10X-218-020,0,0
2,452,10X-400-006,9,1
2,453,10X-405-004,0,0
2,454,10X-405-021,11,0
2,455,05X-287-168,0,0
2,456,05X-287-154,0,0
2,457,10X-239-016,4,0
2,458,10X-400-042,9,1
2,459,95058,0,0
2,460,01X-271-009,0,0
2,461,10X-405-012,Dead ,0
2,462,10X-400-084,Dead ,0
2,463,10X-400-025,30,1
2,464,06X-330-034 ,0,0
2,465,LA970253,0,0
2,466,10X-405-006,12,0
2,467,10X-400-067,10,1
2,468,10X-239-001,10,0
2,469,10X-239-034,9,0
2,470,10X-218-004,0,0
2,471,10X-405-018,3,0
2,472,10X-400-088,11,0
2,473,04-FF-025,0,1
2,474,SX64,0,0
2,475,05X-287-148,0,0
2,476,05X-287-020,0,0
2,477,10X-400-029,38,1
2,478,10X-400-023,28,0
2,479,10X-400-059,43,1
2,480,10X-400-094,45,1
2,481,10X-239-031,6,0
2,482,05X-287-139,0,0
2,483,10X-400-022,19,1
2,484,06X-330-014 ,0,0
2,485,10X-400-099,26,1
2,486,10X-400-065,20,1
2,487,10X-405-024,5,0
2,488,10X-400-017,11,1
2,489,07X-357-107,0,0
2,490,99202-004 ,0,0
2,491,10X-405-001,5,0
2,492,9871-038,0,0
2,493,10X-400-007,9,0
2,494,02X-326-015,0,0
2,495,9970-036,0,0
2,496,10X-405-031,17,1
2,497,10X-405-008,3,0
2,498,10X-239-011,0,0
2,499,06X-330-020 ,0,0
